n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
865,scissors,paper,-1,459,202,204,0.53,0.23,0.24,255,0.29
866,rock,rock,0,459,203,204,0.53,0.23,0.24,255,0.29
867,scissors,paper,-1,459,203,205,0.53,0.23,0.24,254,0.29
868,scissors,rock,1,460,203,205,0.53,0.23,0.24,255,0.29
869,rock,rock,0,460,204,205,0.53,0.23,0.24,255,0.29
870,scissors,rock,1,461,204,205,0.53,0.23,0.24,256,0.29
871,rock,rock,0,461,205,205,0.53,0.24,0.24,256,0.29
872,scissors,rock,1,462,205,205,0.53,0.24,0.24,257,0.29
873,rock,rock,0,462,206,205,0.53,0.24,0.23,257,0.29
874,scissors,rock,1,463,206,205,0.53,0.24,0.23,258,0.3
875,scissors,rock,1,464,206,205,0.53,0.24,0.23,259,0.3
876,rock,paper,1,465,206,205,0.53,0.24,0.23,260,0.3
877,rock,paper,1,466,206,205,0.53,0.23,0.23,261,0.3
878,scissors,rock,1,467,206,205,0.53,0.23,0.23,262,0.3
879,rock,rock,0,467,207,205,0.53,0.24,0.23,262,0.3
880,rock,rock,0,467,208,205,0.53,0.24,0.23,262,0.3
881,scissors,rock,1,468,208,205,0.53,0.24,0.23,263,0.3
882,scissors,paper,-1,468,208,206,0.53,0.24,0.23,262,0.3
883,scissors,paper,-1,468,208,207,0.53,0.24,0.23,261,0.3
884,rock,rock,0,468,209,207,0.53,0.24,0.23,261,0.3
885,scissors,paper,-1,468,209,208,0.53,0.24,0.24,260,0.29
886,scissors,rock,1,469,209,208,0.53,0.24,0.23,261,0.29
887,scissors,rock,1,470,209,208,0.53,0.24,0.23,262,0.3
888,scissors,paper,-1,470,209,209,0.53,0.24,0.24,261,0.29
889,scissors,rock,1,471,209,209,0.53,0.24,0.24,262,0.29
890,scissors,paper,-1,471,209,210,0.53,0.23,0.24,261,0.29
891,rock,rock,0,471,210,210,0.53,0.24,0.24,261,0.29
892,scissors,paper,-1,471,210,211,0.53,0.24,0.24,260,0.29
893,scissors,rock,1,472,210,211,0.53,0.24,0.24,261,0.29
894,scissors,paper,-1,472,210,212,0.53,0.23,0.24,260,0.29
895,rock,rock,0,472,211,212,0.53,0.24,0.24,260,0.29
896,scissors,rock,1,473,211,212,0.53,0.24,0.24,261,0.29
897,scissors,rock,1,474,211,212,0.53,0.24,0.24,262,0.29
898,scissors,rock,1,475,211,212,0.53,0.23,0.24,263,0.29
899,scissors,rock,1,476,211,212,0.53,0.23,0.24,264,0.29
900,scissors,paper,-1,476,211,213,0.53,0.23,0.24,263,0.29
901,rock,rock,0,476,212,213,0.53,0.24,0.24,263,0.29
902,scissors,rock,1,477,212,213,0.53,0.24,0.24,264,0.29
903,scissors,rock,1,478,212,213,0.53,0.23,0.24,265,0.29
904,scissors,rock,1,479,212,213,0.53,0.23,0.24,266,0.29
905,rock,paper,1,480,212,213,0.53,0.23,0.24,267,0.3
906,scissors,rock,1,481,212,213,0.53,0.23,0.24,268,0.3
907,scissors,rock,1,482,212,213,0.53,0.23,0.23,269,0.3
908,scissors,rock,1,483,212,213,0.53,0.23,0.23,270,0.3
909,scissors,rock,1,484,212,213,0.53,0.23,0.23,271,0.3
910,rock,rock,0,484,213,213,0.53,0.23,0.23,271,0.3
911,rock,paper,1,485,213,213,0.53,0.23,0.23,272,0.3
912,scissors,rock,1,486,213,213,0.53,0.23,0.23,273,0.3
913,rock,paper,1,487,213,213,0.53,0.23,0.23,274,0.3
914,scissors,rock,1,488,213,213,0.53,0.23,0.23,275,0.3
915,scissors,rock,1,489,213,213,0.53,0.23,0.23,276,0.3
916,rock,rock,0,489,214,213,0.53,0.23,0.23,276,0.3
917,scissors,rock,1,490,214,213,0.53,0.23,0.23,277,0.3
918,scissors,rock,1,491,214,213,0.53,0.23,0.23,278,0.3
919,rock,paper,1,492,214,213,0.54,0.23,0.23,279,0.3
920,rock,rock,0,492,215,213,0.53,0.23,0.23,279,0.3
921,rock,rock,0,492,216,213,0.53,0.23,0.23,279,0.3
922,scissors,rock,1,493,216,213,0.53,0.23,0.23,280,0.3
923,scissors,paper,-1,493,216,214,0.53,0.23,0.23,279,0.3
924,scissors,rock,1,494,216,214,0.53,0.23,0.23,280,0.3
925,rock,rock,0,494,217,214,0.53,0.23,0.23,280,0.3
926,scissors,rock,1,495,217,214,0.53,0.23,0.23,281,0.3
927,scissors,rock,1,496,217,214,0.54,0.23,0.23,282,0.3
928,scissors,rock,1,497,217,214,0.54,0.23,0.23,283,0.3
929,rock,paper,1,498,217,214,0.54,0.23,0.23,284,0.31
930,scissors,paper,-1,498,217,215,0.54,0.23,0.23,283,0.3
931,rock,rock,0,498,218,215,0.53,0.23,0.23,283,0.3
932,rock,paper,1,499,218,215,0.54,0.23,0.23,284,0.3
933,rock,rock,0,499,219,215,0.53,0.23,0.23,284,0.3
934,scissors,rock,1,500,219,215,0.54,0.23,0.23,285,0.31
935,scissors,rock,1,501,219,215,0.54,0.23,0.23,286,0.31
936,rock,rock,0,501,220,215,0.54,0.24,0.23,286,0.31
937,rock,paper,1,502,220,215,0.54,0.23,0.23,287,0.31
938,scissors,rock,1,503,220,215,0.54,0.23,0.23,288,0.31
939,scissors,rock,1,504,220,215,0.54,0.23,0.23,289,0.31
940,scissors,paper,-1,504,220,216,0.54,0.23,0.23,288,0.31
941,scissors,paper,-1,504,220,217,0.54,0.23,0.23,287,0.3
942,scissors,paper,-1,504,220,218,0.54,0.23,0.23,286,0.3
943,scissors,rock,1,505,220,218,0.54,0.23,0.23,287,0.3
944,scissors,paper,-1,505,220,219,0.53,0.23,0.23,286,0.3
945,scissors,paper,-1,505,220,220,0.53,0.23,0.23,285,0.3
946,rock,rock,0,505,221,220,0.53,0.23,0.23,285,0.3
947,rock,paper,1,506,221,220,0.53,0.23,0.23,286,0.3
948,rock,paper,1,507,221,220,0.53,0.23,0.23,287,0.3
949,scissors,rock,1,508,221,220,0.54,0.23,0.23,288,0.3
950,scissors,rock,1,509,221,220,0.54,0.23,0.23,289,0.3
951,rock,rock,0,509,222,220,0.54,0.23,0.23,289,0.3
952,rock,rock,0,509,223,220,0.53,0.23,0.23,289,0.3
953,scissors,paper,-1,509,223,221,0.53,0.23,0.23,288,0.3
954,rock,rock,0,509,224,221,0.53,0.23,0.23,288,0.3
955,scissors,rock,1,510,224,221,0.53,0.23,0.23,289,0.3
956,rock,paper,1,511,224,221,0.53,0.23,0.23,290,0.3
957,scissors,rock,1,512,224,221,0.54,0.23,0.23,291,0.3
958,scissors,paper,-1,512,224,222,0.53,0.23,0.23,290,0.3
959,scissors,rock,1,513,224,222,0.53,0.23,0.23,291,0.3
960,scissors,paper,-1,513,224,223,0.53,0.23,0.23,290,0.3
961,scissors,paper,-1,513,224,224,0.53,0.23,0.23,289,0.3
962,scissors,rock,1,514,224,224,0.53,0.23,0.23,290,0.3
963,rock,paper,1,515,224,224,0.53,0.23,0.23,291,0.3
964,rock,rock,0,515,225,224,0.53,0.23,0.23,291,0.3
965,scissors,rock,1,516,225,224,0.53,0.23,0.23,292,0.3
966,scissors,paper,-1,516,225,225,0.53,0.23,0.23,291,0.3
967,scissors,paper,-1,516,225,226,0.53,0.23,0.23,290,0.3
968,scissors,paper,-1,516,225,227,0.53,0.23,0.23,289,0.3
969,rock,paper,1,517,225,227,0.53,0.23,0.23,290,0.3
970,rock,rock,0,517,226,227,0.53,0.23,0.23,290,0.3
971,scissors,rock,1,518,226,227,0.53,0.23,0.23,291,0.3
972,scissors,paper,-1,518,226,228,0.53,0.23,0.23,290,0.3
973,scissors,rock,1,519,226,228,0.53,0.23,0.23,291,0.3
974,scissors,paper,-1,519,226,229,0.53,0.23,0.24,290,0.3
975,scissors,paper,-1,519,226,230,0.53,0.23,0.24,289,0.3
976,rock,rock,0,519,227,230,0.53,0.23,0.24,289,0.3
977,rock,rock,0,519,228,230,0.53,0.23,0.24,289,0.3
978,scissors,paper,-1,519,228,231,0.53,0.23,0.24,288,0.29
979,rock,rock,0,519,229,231,0.53,0.23,0.24,288,0.29
980,rock,rock,0,519,230,231,0.53,0.23,0.24,288,0.29
981,scissors,paper,-1,519,230,232,0.53,0.23,0.24,287,0.29
982,scissors,paper,-1,519,230,233,0.53,0.23,0.24,286,0.29
983,scissors,rock,1,520,230,233,0.53,0.23,0.24,287,0.29
984,rock,paper,1,521,230,233,0.53,0.23,0.24,288,0.29
985,scissors,paper,-1,521,230,234,0.53,0.23,0.24,287,0.29
986,rock,rock,0,521,231,234,0.53,0.23,0.24,287,0.29
987,rock,rock,0,521,232,234,0.53,0.24,0.24,287,0.29
988,scissors,rock,1,522,232,234,0.53,0.23,0.24,288,0.29
989,scissors,paper,-1,522,232,235,0.53,0.23,0.24,287,0.29
990,scissors,rock,1,523,232,235,0.53,0.23,0.24,288,0.29
991,scissors,rock,1,524,232,235,0.53,0.23,0.24,289,0.29
992,rock,paper,1,525,232,235,0.53,0.23,0.24,290,0.29
993,rock,rock,0,525,233,235,0.53,0.23,0.24,290,0.29
994,scissors,rock,1,526,233,235,0.53,0.23,0.24,291,0.29
995,rock,rock,0,526,234,235,0.53,0.24,0.24,291,0.29
996,rock,rock,0,526,235,235,0.53,0.24,0.24,291,0.29
997,scissors,rock,1,527,235,235,0.53,0.24,0.24,292,0.29
998,scissors,rock,1,528,235,235,0.53,0.24,0.24,293,0.29
999,rock,rock,0,528,236,235,0.53,0.24,0.24,293,0.29
1000,scissors,rock,1,529,236,235,0.53,0.24,0.23,294,0.29
1001,scissors,paper,-1,529,236,236,0.53,0.24,0.24,293,0.29
1002,scissors,paper,-1,529,236,237,0.53,0.24,0.24,292,0.29
1003,rock,rock,0,529,237,237,0.53,0.24,0.24,292,0.29
1004,scissors,rock,1,530,237,237,0.53,0.24,0.24,293,0.29
1005,scissors,rock,1,531,237,237,0.53,0.24,0.24,294,0.29
1006,scissors,paper,-1,531,237,238,0.53,0.24,0.24,293,0.29
1007,scissors,paper,-1,531,237,239,0.53,0.24,0.24,292,0.29
1008,scissors,rock,1,532,237,239,0.53,0.24,0.24,293,0.29
1009,scissors,rock,1,533,237,239,0.53,0.23,0.24,294,0.29
1010,rock,rock,0,533,238,239,0.53,0.24,0.24,294,0.29
1011,scissors,rock,1,534,238,239,0.53,0.24,0.24,295,0.29
1012,rock,rock,0,534,239,239,0.53,0.24,0.24,295,0.29
1013,scissors,rock,1,535,239,239,0.53,0.24,0.24,296,0.29
1014,scissors,rock,1,536,239,239,0.53,0.24,0.24,297,0.29
1015,scissors,rock,1,537,239,239,0.53,0.24,0.24,298,0.29
1016,scissors,paper,-1,537,239,240,0.53,0.24,0.24,297,0.29
1017,scissors,rock,1,538,239,240,0.53,0.24,0.24,298,0.29
1018,scissors,paper,-1,538,239,241,0.53,0.23,0.24,297,0.29
1019,rock,rock,0,538,240,241,0.53,0.24,0.24,297,0.29
1020,scissors,rock,1,539,240,241,0.53,0.24,0.24,298,0.29
1021,scissors,paper,-1,539,240,242,0.53,0.24,0.24,297,0.29
1022,scissors,paper,-1,539,240,243,0.53,0.23,0.24,296,0.29
1023,rock,rock,0,539,241,243,0.53,0.24,0.24,296,0.29
1024,rock,rock,0,539,242,243,0.53,0.24,0.24,296,0.29
1025,rock,paper,1,540,242,243,0.53,0.24,0.24,297,0.29
1026,scissors,rock,1,541,242,243,0.53,0.24,0.24,298,0.29
1027,rock,rock,0,541,243,243,0.53,0.24,0.24,298,0.29
1028,scissors,paper,-1,541,243,244,0.53,0.24,0.24,297,0.29
1029,scissors,rock,1,542,243,244,0.53,0.24,0.24,298,0.29
1030,rock,rock,0,542,244,244,0.53,0.24,0.24,298,0.29
1031,scissors,rock,1,543,244,244,0.53,0.24,0.24,299,0.29
1032,scissors,rock,1,544,244,244,0.53,0.24,0.24,300,0.29
1033,scissors,paper,-1,544,244,245,0.53,0.24,0.24,299,0.29
1034,scissors,rock,1,545,244,245,0.53,0.24,0.24,300,0.29
1035,scissors,paper,-1,545,244,246,0.53,0.24,0.24,299,0.29
1036,scissors,rock,1,546,244,246,0.53,0.24,0.24,300,0.29
1037,scissors,paper,-1,546,244,247,0.53,0.24,0.24,299,0.29
1038,scissors,paper,-1,546,244,248,0.53,0.24,0.24,298,0.29
1039,rock,rock,0,546,245,248,0.53,0.24,0.24,298,0.29
1040,scissors,paper,-1,546,245,249,0.53,0.24,0.24,297,0.29
1041,rock,rock,0,546,246,249,0.52,0.24,0.24,297,0.29
1042,scissors,paper,-1,546,246,250,0.52,0.24,0.24,296,0.28
1043,scissors,rock,1,547,246,250,0.52,0.24,0.24,297,0.28
1044,scissors,rock,1,548,246,250,0.52,0.24,0.24,298,0.29
1045,rock,rock,0,548,247,250,0.52,0.24,0.24,298,0.29
1046,scissors,paper,-1,548,247,251,0.52,0.24,0.24,297,0.28
1047,scissors,rock,1,549,247,251,0.52,0.24,0.24,298,0.28
1048,scissors,rock,1,550,247,251,0.52,0.24,0.24,299,0.29
1049,rock,rock,0,550,248,251,0.52,0.24,0.24,299,0.29
1050,rock,rock,0,550,249,251,0.52,0.24,0.24,299,0.28
1051,scissors,rock,1,551,249,251,0.52,0.24,0.24,300,0.29
1052,scissors,rock,1,552,249,251,0.52,0.24,0.24,301,0.29
1053,scissors,rock,1,553,249,251,0.53,0.24,0.24,302,0.29
1054,scissors,rock,1,554,249,251,0.53,0.24,0.24,303,0.29
1055,rock,rock,0,554,250,251,0.53,0.24,0.24,303,0.29
1056,scissors,rock,1,555,250,251,0.53,0.24,0.24,304,0.29
1057,scissors,rock,1,556,250,251,0.53,0.24,0.24,305,0.29
1058,scissors,paper,-1,556,250,252,0.53,0.24,0.24,304,0.29
1059,scissors,rock,1,557,250,252,0.53,0.24,0.24,305,0.29
1060,scissors,paper,-1,557,250,253,0.53,0.24,0.24,304,0.29
1061,scissors,rock,1,558,250,253,0.53,0.24,0.24,305,0.29
1062,scissors,rock,1,559,250,253,0.53,0.24,0.24,306,0.29
1063,scissors,paper,-1,559,250,254,0.53,0.24,0.24,305,0.29
1064,scissors,rock,1,560,250,254,0.53,0.23,0.24,306,0.29
1065,scissors,rock,1,561,250,254,0.53,0.23,0.24,307,0.29
1066,rock,rock,0,561,251,254,0.53,0.24,0.24,307,0.29
1067,scissors,paper,-1,561,251,255,0.53,0.24,0.24,306,0.29
1068,scissors,paper,-1,561,251,256,0.53,0.24,0.24,305,0.29
1069,rock,rock,0,561,252,256,0.52,0.24,0.24,305,0.29
1070,scissors,rock,1,562,252,256,0.53,0.24,0.24,306,0.29
1071,rock,rock,0,562,253,256,0.52,0.24,0.24,306,0.29
1072,scissors,rock,1,563,253,256,0.53,0.24,0.24,307,0.29
1073,rock,rock,0,563,254,256,0.52,0.24,0.24,307,0.29
1074,scissors,rock,1,564,254,256,0.53,0.24,0.24,308,0.29
1075,scissors,rock,1,565,254,256,0.53,0.24,0.24,309,0.29
1076,rock,paper,1,566,254,256,0.53,0.24,0.24,310,0.29
1077,scissors,rock,1,567,254,256,0.53,0.24,0.24,311,0.29
1078,rock,rock,0,567,255,256,0.53,0.24,0.24,311,0.29
1079,rock,rock,0,567,256,256,0.53,0.24,0.24,311,0.29
1080,scissors,rock,1,568,256,256,0.53,0.24,0.24,312,0.29
1081,scissors,rock,1,569,256,256,0.53,0.24,0.24,313,0.29
1082,scissors,rock,1,570,256,256,0.53,0.24,0.24,314,0.29
1083,rock,rock,0,570,257,256,0.53,0.24,0.24,314,0.29
1084,scissors,paper,-1,570,257,257,0.53,0.24,0.24,313,0.29
1085,scissors,paper,-1,570,257,258,0.53,0.24,0.24,312,0.29
1086,scissors,rock,1,571,257,258,0.53,0.24,0.24,313,0.29
1087,rock,rock,0,571,258,258,0.53,0.24,0.24,313,0.29
1088,rock,rock,0,571,259,258,0.52,0.24,0.24,313,0.29
1089,scissors,rock,1,572,259,258,0.53,0.24,0.24,314,0.29
1090,rock,rock,0,572,260,258,0.52,0.24,0.24,314,0.29
1091,rock,rock,0,572,261,258,0.52,0.24,0.24,314,0.29
1092,rock,rock,0,572,262,258,0.52,0.24,0.24,314,0.29
1093,rock,rock,0,572,263,258,0.52,0.24,0.24,314,0.29
1094,rock,paper,1,573,263,258,0.52,0.24,0.24,315,0.29
1095,scissors,rock,1,574,263,258,0.52,0.24,0.24,316,0.29
1096,scissors,paper,-1,574,263,259,0.52,0.24,0.24,315,0.29
1097,scissors,rock,1,575,263,259,0.52,0.24,0.24,316,0.29
1098,scissors,paper,-1,575,263,260,0.52,0.24,0.24,315,0.29
1099,rock,rock,0,575,264,260,0.52,0.24,0.24,315,0.29
1100,scissors,rock,1,576,264,260,0.52,0.24,0.24,316,0.29
1101,rock,paper,1,577,264,260,0.52,0.24,0.24,317,0.29
1102,scissors,rock,1,578,264,260,0.52,0.24,0.24,318,0.29
1103,scissors,rock,1,579,264,260,0.52,0.24,0.24,319,0.29
1104,scissors,rock,1,580,264,260,0.53,0.24,0.24,320,0.29
1105,scissors,rock,1,581,264,260,0.53,0.24,0.24,321,0.29
1106,rock,rock,0,581,265,260,0.53,0.24,0.24,321,0.29
1107,scissors,rock,1,582,265,260,0.53,0.24,0.23,322,0.29
1108,scissors,rock,1,583,265,260,0.53,0.24,0.23,323,0.29
1109,rock,rock,0,583,266,260,0.53,0.24,0.23,323,0.29
1110,scissors,rock,1,584,266,260,0.53,0.24,0.23,324,0.29
1111,scissors,rock,1,585,266,260,0.53,0.24,0.23,325,0.29
1112,scissors,paper,-1,585,266,261,0.53,0.24,0.23,324,0.29
1113,scissors,rock,1,586,266,261,0.53,0.24,0.23,325,0.29
1114,rock,rock,0,586,267,261,0.53,0.24,0.23,325,0.29
1115,scissors,rock,1,587,267,261,0.53,0.24,0.23,326,0.29
1116,rock,rock,0,587,268,261,0.53,0.24,0.23,326,0.29
1117,scissors,rock,1,588,268,261,0.53,0.24,0.23,327,0.29
1118,rock,paper,1,589,268,261,0.53,0.24,0.23,328,0.29
1119,scissors,rock,1,590,268,261,0.53,0.24,0.23,329,0.29
1120,scissors,paper,-1,590,268,262,0.53,0.24,0.23,328,0.29
1121,scissors,rock,1,591,268,262,0.53,0.24,0.23,329,0.29
1122,scissors,rock,1,592,268,262,0.53,0.24,0.23,330,0.29
1123,scissors,rock,1,593,268,262,0.53,0.24,0.23,331,0.29
1124,rock,rock,0,593,269,262,0.53,0.24,0.23,331,0.29
1125,scissors,rock,1,594,269,262,0.53,0.24,0.23,332,0.3
1126,scissors,paper,-1,594,269,263,0.53,0.24,0.23,331,0.29
1127,scissors,rock,1,595,269,263,0.53,0.24,0.23,332,0.29
1128,scissors,paper,-1,595,269,264,0.53,0.24,0.23,331,0.29
1129,scissors,paper,-1,595,269,265,0.53,0.24,0.23,330,0.29
1130,scissors,rock,1,596,269,265,0.53,0.24,0.23,331,0.29
1131,scissors,rock,1,597,269,265,0.53,0.24,0.23,332,0.29
1132,scissors,rock,1,598,269,265,0.53,0.24,0.23,333,0.29
1133,rock,paper,1,599,269,265,0.53,0.24,0.23,334,0.29
1134,scissors,rock,1,600,269,265,0.53,0.24,0.23,335,0.3
1135,scissors,paper,-1,600,269,266,0.53,0.24,0.23,334,0.29
1136,scissors,rock,1,601,269,266,0.53,0.24,0.23,335,0.29
1137,scissors,rock,1,602,269,266,0.53,0.24,0.23,336,0.3
1138,rock,rock,0,602,270,266,0.53,0.24,0.23,336,0.3
1139,scissors,paper,-1,602,270,267,0.53,0.24,0.23,335,0.29
1140,rock,rock,0,602,271,267,0.53,0.24,0.23,335,0.29
1141,rock,rock,0,602,272,267,0.53,0.24,0.23,335,0.29
1142,scissors,rock,1,603,272,267,0.53,0.24,0.23,336,0.29
1143,scissors,paper,-1,603,272,268,0.53,0.24,0.23,335,0.29
1144,rock,paper,1,604,272,268,0.53,0.24,0.23,336,0.29
1145,scissors,rock,1,605,272,268,0.53,0.24,0.23,337,0.29
1146,scissors,rock,1,606,272,268,0.53,0.24,0.23,338,0.29
1147,scissors,rock,1,607,272,268,0.53,0.24,0.23,339,0.3
1148,scissors,paper,-1,607,272,269,0.53,0.24,0.23,338,0.29
1149,scissors,rock,1,608,272,269,0.53,0.24,0.23,339,0.3
1150,scissors,rock,1,609,272,269,0.53,0.24,0.23,340,0.3
1151,scissors,rock,1,610,272,269,0.53,0.24,0.23,341,0.3
1152,scissors,rock,1,611,272,269,0.53,0.24,0.23,342,0.3
1153,scissors,rock,1,612,272,269,0.53,0.24,0.23,343,0.3
1154,scissors,paper,-1,612,272,270,0.53,0.24,0.23,342,0.3
1155,scissors,rock,1,613,272,270,0.53,0.24,0.23,343,0.3
1156,scissors,rock,1,614,272,270,0.53,0.24,0.23,344,0.3
1157,scissors,rock,1,615,272,270,0.53,0.24,0.23,345,0.3
1158,scissors,rock,1,616,272,270,0.53,0.23,0.23,346,0.3
1159,rock,rock,0,616,273,270,0.53,0.24,0.23,346,0.3
1160,scissors,rock,1,617,273,270,0.53,0.24,0.23,347,0.3
1161,scissors,paper,-1,617,273,271,0.53,0.24,0.23,346,0.3
1162,scissors,paper,-1,617,273,272,0.53,0.23,0.23,345,0.3
1163,scissors,rock,1,618,273,272,0.53,0.23,0.23,346,0.3
1164,rock,paper,1,619,273,272,0.53,0.23,0.23,347,0.3
1165,rock,paper,1,620,273,272,0.53,0.23,0.23,348,0.3
1166,scissors,rock,1,621,273,272,0.53,0.23,0.23,349,0.3
1167,rock,paper,1,622,273,272,0.53,0.23,0.23,350,0.3
1168,rock,rock,0,622,274,272,0.53,0.23,0.23,350,0.3
1169,rock,rock,0,622,275,272,0.53,0.24,0.23,350,0.3
1170,scissors,rock,1,623,275,272,0.53,0.24,0.23,351,0.3
1171,scissors,rock,1,624,275,272,0.53,0.23,0.23,352,0.3
1172,rock,rock,0,624,276,272,0.53,0.24,0.23,352,0.3
1173,scissors,paper,-1,624,276,273,0.53,0.24,0.23,351,0.3
1174,scissors,rock,1,625,276,273,0.53,0.24,0.23,352,0.3
1175,scissors,rock,1,626,276,273,0.53,0.23,0.23,353,0.3
1176,scissors,rock,1,627,276,273,0.53,0.23,0.23,354,0.3
1177,scissors,rock,1,628,276,273,0.53,0.23,0.23,355,0.3
1178,rock,rock,0,628,277,273,0.53,0.24,0.23,355,0.3
1179,scissors,paper,-1,628,277,274,0.53,0.23,0.23,354,0.3
1180,scissors,rock,1,629,277,274,0.53,0.23,0.23,355,0.3
1181,scissors,paper,-1,629,277,275,0.53,0.23,0.23,354,0.3
1182,scissors,paper,-1,629,277,276,0.53,0.23,0.23,353,0.3
1183,scissors,rock,1,630,277,276,0.53,0.23,0.23,354,0.3
1184,scissors,paper,-1,630,277,277,0.53,0.23,0.23,353,0.3
1185,scissors,rock,1,631,277,277,0.53,0.23,0.23,354,0.3
1186,rock,rock,0,631,278,277,0.53,0.23,0.23,354,0.3
1187,scissors,paper,-1,631,278,278,0.53,0.23,0.23,353,0.3
1188,scissors,rock,1,632,278,278,0.53,0.23,0.23,354,0.3
1189,scissors,rock,1,633,278,278,0.53,0.23,0.23,355,0.3
1190,scissors,paper,-1,633,278,279,0.53,0.23,0.23,354,0.3
1191,scissors,rock,1,634,278,279,0.53,0.23,0.23,355,0.3
1192,rock,rock,0,634,279,279,0.53,0.23,0.23,355,0.3
1193,scissors,rock,1,635,279,279,0.53,0.23,0.23,356,0.3
1194,scissors,paper,-1,635,279,280,0.53,0.23,0.23,355,0.3
1195,scissors,rock,1,636,279,280,0.53,0.23,0.23,356,0.3
1196,scissors,rock,1,637,279,280,0.53,0.23,0.23,357,0.3
1197,rock,rock,0,637,280,280,0.53,0.23,0.23,357,0.3
1198,rock,rock,0,637,281,280,0.53,0.23,0.23,357,0.3
1199,scissors,paper,-1,637,281,281,0.53,0.23,0.23,356,0.3
1200,rock,paper,1,638,281,281,0.53,0.23,0.23,357,0.3
1201,scissors,paper,-1,638,281,282,0.53,0.23,0.23,356,0.3
1202,scissors,rock,1,639,281,282,0.53,0.23,0.23,357,0.3
1203,rock,rock,0,639,282,282,0.53,0.23,0.23,357,0.3
1204,scissors,paper,-1,639,282,283,0.53,0.23,0.24,356,0.3
1205,scissors,paper,-1,639,282,284,0.53,0.23,0.24,355,0.29
1206,scissors,rock,1,640,282,284,0.53,0.23,0.24,356,0.3
1207,scissors,rock,1,641,282,284,0.53,0.23,0.24,357,0.3
1208,scissors,paper,-1,641,282,285,0.53,0.23,0.24,356,0.29
1209,scissors,rock,1,642,282,285,0.53,0.23,0.24,357,0.3
1210,rock,paper,1,643,282,285,0.53,0.23,0.24,358,0.3
1211,scissors,rock,1,644,282,285,0.53,0.23,0.24,359,0.3
1212,rock,rock,0,644,283,285,0.53,0.23,0.24,359,0.3
1213,rock,paper,1,645,283,285,0.53,0.23,0.23,360,0.3
1214,rock,rock,0,645,284,285,0.53,0.23,0.23,360,0.3
1215,scissors,rock,1,646,284,285,0.53,0.23,0.23,361,0.3
1216,rock,paper,1,647,284,285,0.53,0.23,0.23,362,0.3
1217,scissors,rock,1,648,284,285,0.53,0.23,0.23,363,0.3
1218,scissors,paper,-1,648,284,286,0.53,0.23,0.23,362,0.3
1219,scissors,rock,1,649,284,286,0.53,0.23,0.23,363,0.3
1220,scissors,rock,1,650,284,286,0.53,0.23,0.23,364,0.3
1221,scissors,paper,-1,650,284,287,0.53,0.23,0.24,363,0.3
1222,rock,paper,1,651,284,287,0.53,0.23,0.23,364,0.3
1223,rock,rock,0,651,285,287,0.53,0.23,0.23,364,0.3
1224,scissors,rock,1,652,285,287,0.53,0.23,0.23,365,0.3
1225,scissors,paper,-1,652,285,288,0.53,0.23,0.24,364,0.3
1226,scissors,paper,-1,652,285,289,0.53,0.23,0.24,363,0.3
1227,rock,paper,1,653,285,289,0.53,0.23,0.24,364,0.3
1228,scissors,rock,1,654,285,289,0.53,0.23,0.24,365,0.3
1229,scissors,paper,-1,654,285,290,0.53,0.23,0.24,364,0.3
1230,scissors,paper,-1,654,285,291,0.53,0.23,0.24,363,0.3
1231,rock,rock,0,654,286,291,0.53,0.23,0.24,363,0.29
1232,scissors,rock,1,655,286,291,0.53,0.23,0.24,364,0.3
1233,scissors,paper,-1,655,286,292,0.53,0.23,0.24,363,0.29
1234,scissors,rock,1,656,286,292,0.53,0.23,0.24,364,0.29
1235,scissors,rock,1,657,286,292,0.53,0.23,0.24,365,0.3
1236,scissors,rock,1,658,286,292,0.53,0.23,0.24,366,0.3
1237,scissors,paper,-1,658,286,293,0.53,0.23,0.24,365,0.3
1238,rock,rock,0,658,287,293,0.53,0.23,0.24,365,0.29
1239,scissors,paper,-1,658,287,294,0.53,0.23,0.24,364,0.29
1240,rock,paper,1,659,287,294,0.53,0.23,0.24,365,0.29
1241,scissors,rock,1,660,287,294,0.53,0.23,0.24,366,0.29
1242,rock,rock,0,660,288,294,0.53,0.23,0.24,366,0.29
1243,scissors,paper,-1,660,288,295,0.53,0.23,0.24,365,0.29
1244,scissors,paper,-1,660,288,296,0.53,0.23,0.24,364,0.29
1245,scissors,rock,1,661,288,296,0.53,0.23,0.24,365,0.29
1246,scissors,rock,1,662,288,296,0.53,0.23,0.24,366,0.29
1247,scissors,rock,1,663,288,296,0.53,0.23,0.24,367,0.29
1248,scissors,rock,1,664,288,296,0.53,0.23,0.24,368,0.29
1249,scissors,rock,1,665,288,296,0.53,0.23,0.24,369,0.3
1250,rock,paper,1,666,288,296,0.53,0.23,0.24,370,0.3
1251,scissors,paper,-1,666,288,297,0.53,0.23,0.24,369,0.29
1252,scissors,rock,1,667,288,297,0.53,0.23,0.24,370,0.3
1253,scissors,paper,-1,667,288,298,0.53,0.23,0.24,369,0.29
1254,scissors,rock,1,668,288,298,0.53,0.23,0.24,370,0.3
1255,scissors,rock,1,669,288,298,0.53,0.23,0.24,371,0.3
1256,scissors,paper,-1,669,288,299,0.53,0.23,0.24,370,0.29
